타임스탬프,2열,수업 시간에 배우고 싶은 것,1-1. 나는 새로운 아이디어를 떠올리는 것을 즐긴다.,1-2. 문제 해결시 기존의 방식 외에도 창의적인 방법을 탐색한다.,1-3. 나는 기존의 틀에서 벗어나 자유롭게 상상하는 편이다.,1-4. 다양한 정보를 융합하여 새로운 아이디어를 만들어 낼 수 있다.,"2-1. 나는 색상, 형태, 질감 등이 주는 미적 차이에 민감한 편이다.",2-2. 주변의 사물이나 풍경에서 미적인 요소를 발견하는 편이다.,2-3. 나의 디자인이 보는 사람에게 감동이나 감정을 줄 수 있었으면 좋겠다.,2-4. 시각적으로 아름다운 결과물을 만들고자 세부 요소에 주의를 기울인다.,3-1. 문제를 해결하기 위해 여러 가지 아이디어를 떠올려 본다.,"3-2. 스스로 문제를 정의하고, 해결 방향을 설정할 수 있다.",3-3. 다양한 해결 방법을 비교한 후 최적의 방안을 선택하려 한다.,3-4. 문제 상황에서 포기하지 않고 끝까지 해결하려고 노력한다.,"4-1. 나는 디자인 소프트웨어(포토샵, 3D CLO 등)를 능숙하게 다룰 수 있다.",4-2. 디지털 콘텐츠 제작 역량,4-3. 다양한 디지털 플랫폼을 효과적으로 공유하거나 발표할 수 있다.,4-4. 디지털 기술을 디자인 아이디어 실현을 위해 창의적으로 응용할 수 있다.,"5-1. 콘텐츠 기획 단계에서 주제, 대상을 고려하여 아이디어를 도출할 수 있다.",5-2. 다양한 디지털 도구를 활용해 콘텐츠를 편집할 수 있다.,"5-3. 색상, 레이아웃 등을 고려하여 시각적으로 완성도 높은 콘텐츠를 만들 수 있다.",5-4. 콘텐츠 제작 후 피드백을 반영하여 결과물을 수정하거나 개선할 수 있다.,6-1. SNS나 커뮤니티에 정보를 공유할 때 타인에게 미칠 영향을 생각한다.,6-2. 디지털 환경에서의 개인정보 보호와 보안의 중요성을 인식하고 실천한다.,6-3. 온라인에서 상대방과 의사소통할 때 예의와 책임감을 가지고 표현한다.,"6-4. 사이버폭력, 허위정보 등의 문제에 대한 경각심을 가지고 있다.",7-1. 다른 사람의 말을 주의 깊게 듣고 이해하려고 노력한다.,7-2. 다양한 배경과 의견을 가진 사람들과도 잘 협력할 수 있다.,7-3. 갈등 상황에서 상대방의 입장을 고려하며 문제를 해결하려고 노력한다.,7-4. 팀 활동 중 다른 사람과 원활하게 소통하며 조율할 수 있다.,8-1. 상황에 맞는 적절한 말투와 표현을 사용할 수 있다.,8-2. 의견이 다를 때도 예의를 지키며 대화할 수 있다.,8-3. 피드백을 수용하고 자신의 생각이나 행동을 조정할 수 있다.,8-4. 팀원들과 원활하게 정보를 공유하고 협력할 수 있다.,9-1. 조직의 규칙과 절차를 잘 숙지하여 준수하려 노력한다.,9-2. 팀이나 조직의 목표 달성을 위해 내 역할을 충실히 수행한다.,9-3. 조직 구성원들과 협력하여 공동의 과제를 수행할 수 있다.,9-4. 조직 내 의사결정 과정을 이해하고 참여하려고 한다.,10-1. 내가 관심있는 분야에 대해 알리 위해 노력한다.,10-2.나는 내가 해야겠다고 생각하는 일은 스스로 해결할 수 있다.,10-3. 내가 겪는 경험들이 나에게 어떤 의미가 있는지 생각해본다.,"10-4. 어려운 일을 완수하지 못했을 때, 다음 번에 그 일을 할 때는 더 열심히 노력하겠다고 마음먹는다.",11-1. 좋은 아이디어가 떠올때 실행할 수 있는 계획을 세운다.,11-2. 목표를 이루기 위해 필요한 것을 스스로 학습한다.,11-3. 문제를 해결하기 위해서 다양한 방법과 자료를 찾아본다.,11-4. 일이 계획대로 안 될 때 다른 방법들을 찾아본다.,12-1. 내가 말하고자 하는 것을 근거를 통해 명확하게 표현한다.,12-2. 상대방과 의견 충돌이 생길 때 서로에게 도움이 되는 해결방식이 무엇인지 생각해본다.,12-3. 내가 배우고 알게 된 내용을 친구들과 공유한다.,12-4.학급이나 동아리 자치활동에서 적극적으로 의견을 말하고 토론한다.,13-1. 나는 생성형 AI가 제공하는 정보가 사실인지 확인할 수 있다.,13-2. 나는 생성형AI가 제공하는 정보가 믿어도 되는지 판단할 수 있다.,13-3. 나는 생성형 AI가 제공하는 정보가 특정한 견해나 생각에 치우쳐 있는지 판단할 수 있다.,14-1. 나는 생성형 AI에게 원하는 답을 기 위해 어떻게 질문해야 하는지 판단할 수 있다.,14-2. 나는 생성형 AI와 대화할 때 필요한 전문적인 단어나 용어를 쓸 수 있다.,14-3. 나는 원하는 정보나 답변을 얻기 위해 생성형 AI와 어떻게 대화해야 하는지 알고 있다.,15-1. 나는 생성형 AI를 이용해서 새로운 생각이나 아이디어를 만들어낼 수 있다.,15-2. 나는   생성형 AI 의 도움으로 독창적인 글이나 이야기를 쓸 수 있다.,15-3. 나는 생성형 AI를 사용해 복잡한 문제를 해결하는 새로운 방법을 찾아낼 수 있다.
2026. 3. 13 오전 10:14:46,30717,진학 관련 활동,3,4,2,3,4,4,2,4,3,2,2,2,1,1,1,1,3,1,2,2,1,3,4,3,2,3,3,3,3,3,3,3,4,4,4,4,2,3,4,3,2,1,3,3,3,3,3,1,2,2,2,3,2,2,3,2,2
2026. 3. 13 오전 10:16:33,30806,CLO를 활용해서 취업 포트폴리오의 완성도를 높이고 싶다,4,3,4,3,3,3,4,4,3,4,4,3,3,2,4,4,4,3,3,3,5,4,4,4,5,4,4,4,5,4,5,5,5,5,4,5,5,4,5,4,4,2,4,3,4,3,4,3,5,5,4,3,4,3,3,5,5
2026. 3. 13 오전 10:17:09,30706,3D 의상을 다양하게,4,3,3,3,3,3,3,3,3,4,4,4,1,1,1,1,2,1,2,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,4,2,3,3,3,5,2,2,3,3,5,5,1,5,2,1,1
2026. 3. 13 오전 10:17:12,30816,3D CLO를 활용한 완벽하고 어려운 패턴 생성,3,3,3,3,4,3,3,5,4,3,4,5,4,3,3,3,4,3,3,4,3,3,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2026. 3. 13 오전 10:17:23,30817,"3d clo를 활용한 다양한 패턴 변형, 활용법",4,2,3,4,4,4,4,4,4,3,3,5,3,4,4,3,4,4,5,5,3,3,3,2,4,4,4,4,4,3,3,4,5,4,4,4,5,5,3,3,3,2,3,3,3,4,2,3,2,3,3,3,2,3,3,3,3
2026. 3. 13 오전 10:17:51,30805,3d클로를 활용해서 멋있는 작품 만들기 ,4,3,3,3,3,3,4,3,4,4,3,3,1,2,3,3,3,2,3,3,3,2,5,3,2,3,3,3,4,5,4,3,4,4,4,4,4,4,4,3,4,2,4,3,4,3,4,4,3,4,3,4,3,3,4,4,3
2026. 3. 13 오전 10:17:56,30715,3d clo를 활용한 패턴과 입체적이고 해체적인 디자인의 옷을 디자인 해보고 싶음,4,4,4,3,4,3,4,4,4,3,3,4,2,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,3,2,4,4,3,4,4,3,3,4,4,3,3,4,4,3,3
2026. 3. 13 오전 10:17:56,30809,패션쇼 3D,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,2,1,2,2,2,3,3,3,5,3,3,3,3,5,3,4,4,4,3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3
2026. 3. 13 오전 10:18:06,30813,3D CLO를 활용한 새로운 디자인과 아이디어 제작,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,2,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,3,4,4,4,4,3,3,3,4,4
2026. 3. 13 오전 10:18:21,30704,포트폴리오 만드는 방법 과정 꿀팁,4,4,4,4,5,5,4,5,4,4,5,5,1,3,3,3,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,4,4,4,3,3,3,3,3,3,4,4,3
2026. 3. 13 오전 10:18:25,30803,3D CLO 기본 활용,4,3,3,3,4,4,5,5,5,4,3,4,1,3,3,3,4,3,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,2,3,4,4,4,4,3,4,4,3,3
2026. 3. 13 오전 10:19:35,30812,3d로 의상 디자인하는 방법,4,4,4,4,4,4,4,5,4,4,4,3,2,2,3,3,3,2,3,3,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,1,5,4,5,5,5,5,4,4,4,4,3,4,4,3,4
2026. 3. 13 오전 10:20:27,30820,다양한 3D 기술,4,4,4,4,5,4,4,4,4,2,3,2,1,1,1,2,3,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,3,3,3,3,2,3,3,4,3
2026. 3. 13 오전 10:20:56,30708,"옷 패턴, 디자인 입히기",4,3,3,4,3,4,3,4,4,3,4,4,2,3,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,3,4,4,5,1,3,4,3,3,4,3,3,3,3,4,3,3,4,4,4
2026. 3. 13 오전 10:22:21,30702,3D CLO 활용 방법 (진로에 맞는 옥 디자인),5,4,4,5,2,2,4,3,3,4,3,4,2,3,3,3,3,4,3,2,3,3,4,3,5,2,3,5,3,4,3,3,3,4,2,3,3,4,4,4,3,1,5,4,4,5,5,3,3,4,3,4,2,3,2,5,5
2026. 3. 13 오전 10:23:21,20710,3d로 섬세하게 의상 디자인 하는 법,3,3,2,2,3,2,5,3,3,2,3,3,2,1,2,3,3,3,2,4,3,4,5,4,5,5,4,4,4,5,5,4,5,5,5,4,2,3,4,4,3,1,3,4,3,5,4,3,2,3,4,4,2,4,3,3,5
2026. 3. 19 오전 7:00:34,30811,생성형 AI와 3D CLO를 활용한 디지털 패션 디자인 연구,2,2,1,3,5,4,3,5,4,4,4,4,2,2,2,2,2,3,4,4,3,3,4,4,5,4,5,5,3,4,5,4,5,5,5,5,4,4,4,5,2,2,4,4,4,4,3,3,4,4,3,4,2,4,4,4,4
2026. 3. 19 오전 7:58:20,30807,(보고서 제목:지속 가능한 패션 혁신과 한성대학교 글로벌 인재상/ clo를 사용한 패턴,3,1,2,2,2,2,5,3,3,4,3,5,2,2,3,2,3,2,2,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,2,4,4,4,5,4,5,2,2,3,3,1,2,3,4,2
